idx,num_steps,num_calcs,question_words,difficulty,answer_magnitude,simcon_correct,simcon_sircl_correct,simcon_transition,codi_correct,codi_sircl_correct,codi_transition,simcon_radius_mean,simcon_sircl_radius_mean,simcon_path_length,simcon_sircl_path_length
833,3,2,52,medium (3-4 steps),small (11-100),False,True,recovered,True,True,both_correct,12.201378,7.546108,88.70953,50.996643
834,3,3,38,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,14.41582,7.951504,108.99293,56.990562
835,3,3,40,medium (3-4 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,12.834921,8.055615,99.38982,55.129272
836,3,3,46,medium (3-4 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,13.625148,8.378411,96.01937,61.763203
837,4,4,100,medium (3-4 steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,11.297185,7.7205663,89.82962,48.177364
838,4,4,47,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,15.816614,9.984059,114.87987,67.25401
839,3,3,34,medium (3-4 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,14.224646,8.604063,116.888054,62.956165
840,4,4,47,medium (3-4 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,11.044211,8.293355,70.7104,51.792603
841,3,3,36,medium (3-4 steps),large (>1K),False,False,both_wrong,False,False,both_wrong,12.42193,8.849067,89.923836,56.474922
842,2,1,28,easy (1-2 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,14.364279,7.2581825,87.024734,46.97133
843,5,5,32,hard (5-6 steps),small (11-100),True,True,both_correct,True,True,both_correct,16.143274,10.380043,111.684006,70.4475
844,6,5,43,hard (5-6 steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,8.580627,6.3651276,56.146545,41.04723
845,2,1,40,easy (1-2 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,13.36067,7.8285565,64.546715,52.685818
846,4,4,53,medium (3-4 steps),small (11-100),False,True,recovered,True,False,regressed,11.424578,9.950575,78.509,63.75043
847,3,3,31,medium (3-4 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,13.228273,7.8657913,99.59264,54.187725
848,3,3,42,medium (3-4 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,10.601405,8.195608,75.410225,52.11303
849,2,2,30,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,16.159311,8.230021,89.75259,46.41161
850,4,4,48,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,13.569131,8.931775,90.16277,64.52755
851,2,2,27,easy (1-2 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,14.510779,8.725738,83.96033,51.680466
852,5,5,46,hard (5-6 steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,10.468461,7.746138,73.01171,58.680477
853,4,3,29,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,14.785273,8.993348,112.729095,63.423317
854,4,4,68,medium (3-4 steps),medium (101-1K),False,True,recovered,True,True,both_correct,11.560647,8.123457,75.78895,58.03313
855,5,0,42,hard (5-6 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,9.542002,5.548136,60.23708,33.976627
856,4,2,59,medium (3-4 steps),tiny (≤10),False,True,recovered,True,True,both_correct,13.632129,8.831515,90.79557,60.638977
857,2,2,68,easy (1-2 steps),large (>1K),True,True,both_correct,True,True,both_correct,12.69893,7.847649,86.369545,50.443542
858,5,4,21,hard (5-6 steps),large (>1K),False,False,both_wrong,False,False,both_wrong,12.3237915,8.432273,92.3219,60.017403
859,4,4,40,medium (3-4 steps),large (>1K),False,False,both_wrong,True,False,regressed,12.104177,10.398356,93.59977,75.3088
860,3,3,29,medium (3-4 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,13.447069,6.9415445,96.392944,43.751503
861,4,4,51,medium (3-4 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,10.643996,6.729056,70.64438,45.46706
862,4,4,58,medium (3-4 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,11.0346,8.01697,78.031906,54.55056
863,2,2,27,easy (1-2 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,14.0228195,7.531296,74.15469,46.332855
864,3,3,45,medium (3-4 steps),small (11-100),False,False,both_wrong,False,True,recovered,13.579764,9.085562,100.33581,64.65418
865,4,4,54,medium (3-4 steps),small (11-100),True,True,both_correct,False,False,both_wrong,14.598587,10.452195,101.82089,71.72685
866,6,1,31,hard (5-6 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,10.565108,5.4389415,52.3845,32.92718
867,2,2,49,easy (1-2 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,13.494517,7.285775,85.5493,46.172253
868,3,3,58,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,12.991697,8.687104,103.24339,59.836136
869,2,2,26,easy (1-2 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,15.936196,8.061558,78.25254,52.640686
870,3,3,37,medium (3-4 steps),small (11-100),True,False,regressed,True,True,both_correct,10.710431,9.054422,78.74313,55.971413
871,5,5,43,hard (5-6 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,12.319983,10.198722,92.617516,81.084915
872,5,4,32,hard (5-6 steps),small (11-100),False,False,both_wrong,False,True,recovered,11.325295,8.054199,80.68415,55.768974
873,2,1,32,easy (1-2 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,12.207344,8.755562,89.17596,58.73318
874,2,2,27,easy (1-2 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,15.999738,7.5416193,81.644806,46.718678
875,3,3,24,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,14.225156,8.719419,111.1375,62.70267
876,6,6,65,hard (5-6 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,12.207682,10.446658,81.70428,68.99393
877,3,3,57,medium (3-4 steps),large (>1K),False,False,both_wrong,False,False,both_wrong,14.205,7.6247635,104.40434,51.999477
878,3,3,35,medium (3-4 steps),tiny (≤10),False,True,recovered,False,False,both_wrong,9.125658,8.770023,63.702362,59.33527
879,4,4,38,medium (3-4 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,12.201431,8.632119,88.468735,55.233574
880,3,3,53,medium (3-4 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,13.520082,8.584367,105.22975,58.320236
881,3,2,21,medium (3-4 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,10.802963,7.239468,76.35341,53.40683
882,8,8,95,very hard (7+ steps),tiny (≤10),False,False,both_wrong,False,False,both_wrong,13.757602,10.682746,89.94545,63.069496
